"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an","AvOxy","Oxdebt","AnoxicArea","HypoxicArea"
1970,635054055833.333,5.79904183133333,5.48801821666667,-0.2374376,0.986574213571429,0.0529576032258065,15.0433541726846,0.169435722920721,12.145341625,0.0678994283749167,8.03410001788582,3434.2852585,3236.2949115,4267082758333.33,3.85807537333333,5.82892053333333,0.986574213571429,0.0529576032258065,15.5861841251175,0.238506722199312,3434.2852585,3236.2949115,9.82004743345999,4.42148264252396e-06,9.84909699444444,3.06311274444444,0,0
1971,634790614166.667,6.792627845,5.49871290833333,1.45795558,2.3319620775,0.14522029516129,15.4892471940202,0.207643589759753,13.02552425,0.100462375667983,7.98772654319388,3441.77340975,3234.41157325,4264210875000,4.4469257,5.78807196666667,2.3319620775,0.14522029516129,16.4300968114933,0.311091487361496,3441.77340975,3234.41157325,13.2884325238613,1.46466943967607e-05,10.5531383945946,2.22535772432432,0,0
1972,634688698333.333,6.99963376633333,5.440172175,0.860745465,2.84411030107143,0.194015430645161,15.9753835554369,0.234117989427535,15.0543355,0.0877050700450167,8.02100078857769,3431.018633,3228.97834725,4263165458333.33,3.88812371666667,5.75688278333333,2.84411030107143,0.194015430645161,17.089117541475,0.363191696058607,3431.018633,3228.97834725,11.1543425513612,3.12356828890446e-06,11.0251540555556,1.69863855555556,0,0
1973,635185384166.667,6.59524513333333,5.45594543333333,1.03874271,3.67350353642857,0.236368222580645,16.1094336507035,0.250433130688485,12.491586075,0.105441739230533,7.95691615642587,3456.92136075,3220.88243125,4268508983333.33,4.61340118333333,5.7479487,3.67350353642857,0.236368222580645,17.3005413100671,0.379226098221898,3456.92136075,3220.88243125,20.5377273734433,7.80393704263405e-06,11.2674792972973,1.33702631081081,0,0
1974,635119599166.667,8.10719296666667,5.429872575,2.82468365,3.27879724285714,0.227495312903226,16.0255033712554,0.254201240791157,14.6955235,0.169631730338092,7.87282038348223,3464.6637705,3220.84384025,4267843966666.67,5.3616911,5.69567495,3.27879724285714,0.227495312903226,17.3216270727797,0.384077494513999,3464.6637705,3220.84384025,23.8964139224441,6.14950737432291e-06,11.1940664166667,1.30691095555556,0,0
1975,634459857500,6.78166965283333,5.40745256666667,1.316141505,3.62503900785714,0.239128106451613,16.6111625318792,0.276912170934812,12.581613825,0.254435547409929,7.74516004575148,3488.193134,3212.4492015,4260627616666.67,4.817713,5.66046140833333,3.62503900785714,0.239128106451613,17.895101240035,0.407590230771704,3488.193134,3212.4492015,22.2944447320446,4.25320069681668e-06,11.1962094054054,1.40955368918919,0,0
1976,634715902500,6.98752764575,5.40670613333333,1.498106075,3.96713361392857,0.253252737096774,16.7766655677276,0.276867487587442,14.64353,0.112793482142196,7.93281808567538,3465.16350725,3212.99254325,4263415116666.67,4.351168725,5.66333645833333,3.96713361392857,0.253252737096774,18.1253171455822,0.412217645795277,3465.16350725,3212.99254325,21.4774986904878,6.81530817213796e-06,11.4282215277778,1.30191644166667,0,0
1977,634688780000,7.0365643075,5.38073430833333,0.231381685,3.77528766928571,0.238481603225806,16.6591787181394,0.26436762922492,14.019752325,0.088998686243025,7.96066548020876,3463.8072815,3203.5450335,4263107916666.67,4.2903434,5.63613090833333,3.77528766928571,0.238481603225806,17.9643574812066,0.40318706607879,3463.8072815,3203.5450335,19.185541048774,2.89892253647385e-06,11.6249427837838,1.20961202432432,0,0
1978,634648770000,7.59217913333333,5.34128883333333,2.02185385,3.95520129071429,0.247050233870968,16.4312558618223,0.258145307430025,13.61055375,0.105462841040808,7.94541445999705,3464.08134225,3199.13033675,4262683775000,4.88525058333333,5.600818525,3.95520129071429,0.247050233870968,17.9564790069239,0.408850438742298,3464.08134225,3199.13033675,21.8665635328,7.02064159374954e-06,11.5444726388889,1.24170078055556,0,0
1979,635297471666.667,7.07304809916667,5.348241375,1.6874498,3.89273452107143,0.261193153225806,16.5839037177067,0.281823901248637,13.41177425,0.101156031200954,7.92542026652548,3476.9734975,3202.20462375,4269759258333.33,4.63017803333333,5.582171675,3.89273452107143,0.261193153225806,17.902501155287,0.41597348164793,3476.9734975,3202.20462375,20.4670976964508,1.21610270778296e-05,11.4027426486486,1.23727336216216,0,0
1980,634438985000,7.60809285,5.3303644,2.5708995,3.92548807607143,0.270627508064516,16.3265503025249,0.2867778035052,13.98530725,0.1212338660377,7.86984309750698,3495.88824625,3206.92468375,4260427708333.33,5.137375275,5.55560879166667,3.92548807607143,0.270627508064516,17.8198698737514,0.426292520314571,3495.88824625,3206.92468375,25.0380172880421,8.31874165775834e-05,11.3643973055556,1.14544158111111,0,0
1981,635767619166.667,7.892523125,5.289811,1.7805927,3.77632575035714,0.276096198387097,16.4981389493296,0.295725627398377,14.50243975,0.168286579170017,7.80227313123614,3506.89096225,3196.62122975,4274957600000,5.36134419166667,5.553317425,3.77632575035714,0.276096198387097,17.9724002718677,0.442108576196325,3506.89096225,3196.62122975,30.57713410635,5.0704184961071e-05,11.2006314054054,1.24794714864865,0,0
1982,635230171666.667,8.42098963333333,5.32639154166667,3.5124437,3.9051492275,0.300351348387097,16.2149877675838,0.289562518507816,14.65261075,0.142231892978771,7.80768392685089,3519.01999575,3196.46849575,4269056283333.33,5.41790774166667,5.54927931666667,3.9051492275,0.300351348387097,17.7387699035525,0.429671178288719,3519.01999575,3196.46849575,31.7141481651612,0.00469159085452505,11.2434284444444,1.17379905361111,0,0
