"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an","AvOxy","Oxdebt","AnoxicArea","HypoxicArea"
1970,327346110833.333,4.97844421458333,3.24967359166667,-0.18006907,5.751331925,0.0784948209677419,18.5953069085564,0.139103037975986,11.958534425,0.0998014715422292,7.06521272651885,3926.869235,3802.0776325,1433405166666.67,2.803696795,3.49079594166667,5.751331925,0.0784948209677419,18.7600915989275,0.162600420913244,3926.869235,3802.0776325,4.9162140192325,4.48941403117483e-09,11.9153058333333,1.58132293888889,0,0
1971,326933910833.333,3.96309772808333,3.2001237,-0.168990635,6.19671428285714,0.067907464516129,18.9457806075853,0.141896311743073,9.1167685,0.173471929176542,7.12094423796639,3875.33381825,3755.0032275,1431529575000,2.61216833583333,3.5118451,6.19671428285714,0.067907464516129,18.8714838727408,0.164881684065421,3875.33381825,3755.0032275,4.23587100171152,1.92354248969091e-09,12.2424674054054,1.05714966135135,0,0
1972,327629435833.333,3.62716799743333,3.22518755833333,-0.0764605054,6.4670565225,0.0636289,18.7970129851738,0.136077107303942,8.891838275,0.172967057826875,7.04295966981508,3911.9778565,3789.41498,1434776083333.33,2.93432301416667,3.5001974,6.4670565225,0.0636289,18.768203360778,0.16263101648812,3911.9778565,3789.41498,4.34507224558693,2.48365136773984e-09,12.3470004444444,0.852187494722222,0,0
1973,326954956666.667,3.976780501,3.19684391666667,-0.174167015,6.7455929725,0.067806585483871,19.7143235318283,0.143330621071281,9.818974925,0.162727300120125,7.21433772545801,3835.1482535,3714.29923,1431589683333.33,2.52051919666667,3.51016863333333,6.7455929725,0.067806585483871,19.2981233722878,0.169164963645852,3835.1482535,3714.29923,3.93596791353769,3.2393585673348e-09,12.4842916216216,0.815275882972973,0,0
1974,326765228333.333,3.92150660383333,3.2292103,-0.170370885,7.4156111175,0.071701885483871,20.7430075799392,0.149413316332725,9.151774525,0.169852375089042,7.22335131575244,3829.030445,3704.8581925,1430699416666.67,2.8271007775,3.5827072,7.4156111175,0.071701885483871,20.0575082778942,0.183015235001759,3829.030445,3704.8581925,4.42420333838771,3.31063440958971e-10,12.3946638055556,0.858459838055556,0,0
1975,326464252500,4.61852291083333,3.39642353333333,-0.14280389,8.00832607428572,0.0928020451612903,21.4332147474117,0.155538843257395,10.3494926,0.209148012562667,7.37925866213709,3732.645388,3594.9252255,1429310541666.67,3.204904045,3.68178969166667,8.00832607428572,0.0928020451612903,20.9571143934412,0.196574522807406,3732.645388,3594.9252255,5.70577247093754,1.37976881965841e-09,12.4492202162162,0.686385778378378,0,0
1976,327742540833.333,4.31271543083333,3.72591605,-0.14811108,7.61544059964286,0.0869710919354839,20.4216076666603,0.140799520456403,9.660981675,0.115975120281042,7.74084332079048,3569.5904535,3426.51309475,1435280716666.67,2.96920030166667,3.87624744166667,7.61544059964286,0.0869710919354839,20.3950933350953,0.177047789473643,3569.5904535,3426.51309475,4.24677198984755,1.95137833322945e-11,13.0465936944444,0.261895274888889,0,0
1977,326627957500,5.4796137325,3.62853735,-0.196231845,7.53075396785714,0.0789710048387097,20.7922532882437,0.153534135504272,12.048097675,0.0786195391935417,7.58884633325247,3684.188856,3534.272005,1430067891666.67,3.59059487416667,3.89037675833333,7.53075396785714,0.0789710048387097,20.580810503041,0.204775983452235,3684.188856,3534.272005,6.99415852204517,6.74533989415276e-09,12.6165290540541,0.45200218,0,0
1978,327593338333.333,4.8175093175,3.50502920833333,0.13284963,7.34909461321428,0.087190129032258,20.0960075246572,0.156219205949987,10.558689375,0.194274336090792,7.30443946841795,3778.50232275,3638.676265,1434594825000,3.4278116,3.81410778333333,7.34909461321428,0.087190129032258,20.2856367238519,0.217741303362774,3778.50232275,3638.676265,5.03957398195448,1.35480733648207e-09,12.4133403611111,0.642255541388889,0,0
1979,327229431666.667,5.44600608941667,3.524836275,-0.1241592335,7.2139437025,0.108839429032258,19.9347834834502,0.162282339447597,12.185036775,0.08918386664525,7.56312460475784,3692.00676125,3547.528505,1432852916666.67,3.69051570833333,3.79682245833333,7.2139437025,0.108839429032258,20.0402685737541,0.222155142810798,3692.00676125,3547.528505,6.47395576058362,8.45780420351517e-09,12.2534361351351,0.804179916486486,0,0
1980,327438382500,5.5252091675,3.50248218333333,-0.16991448,7.18577061928571,0.0895336387096774,20.0122713953524,0.156352800481049,11.99282175,0.133616610656208,7.49037506653656,3707.3888915,3565.30304,1433844758333.33,3.59966360333333,3.80563305,7.18577061928571,0.0895336387096774,20.1058808661743,0.229184763666496,3707.3888915,3565.30304,5.00292029858157,2.99553802348452e-09,12.0943877777778,1.00595273666667,0,0
1981,327169450000,4.51193737016667,3.51660889166667,-0.143565949,7.18245845928571,0.113466708064516,20.3547268946606,0.176767652437886,11.2750537,0.150434136577292,7.48827922432318,3705.20543025,3546.1959325,1432583483333.33,2.89463736666667,3.81465584166667,7.18245845928571,0.113466708064516,20.32780493547,0.246355964342047,3705.20543025,3546.1959325,7.62251259125342,5.69245842639367e-09,12.2260462702703,1.00412819945946,0,0
