"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an"
1970,71818536000,7.81240548416667,22.7096398333333,0.771087705,5.13340320714286,0.472547338709677,17.4082513131873,0.647909220814834,14.21404575,1.29556190719199,7.68102148953179,2929.30045375,1738.55704625,166679630000,7.85014069166667,27.1003685833333,5.13340320714286,0.472547338709677,18.6540263987479,0.80668247473035,2929.30045375,1738.55704625,139.537275628485,0.376755750415376
1971,71818536000,7.61376994075,23.1576466666667,1.0877630645,9.02409028571429,0.775249806451613,17.6922049574323,0.698863496431534,13.7353705,1.28289549688105,7.81635995255229,2764.44653225,1574.66165975,166679630000,7.769495675,27.40954875,9.02409028571429,0.775249806451613,19.1372245684513,0.850574395963135,2764.44653225,1574.66165975,138.828128535954,0.229203913407416
1972,71818536000,8.04823678333333,21.5847539166667,3.31475535,9.33797058214286,0.774817306451613,17.6131913752265,0.654227542129892,14.196104,1.04688460479178,7.88458781352245,2977.452606,1835.787316,166679630000,7.99713380833333,26.7444714166667,9.33797058214286,0.774817306451613,19.5317788027276,0.871918226830072,2977.452606,1835.787316,120.455703409796,0.117092129206164
1973,71818536000,7.140250725,23.0075321666667,1.2484446,9.27676740357143,0.78531464516129,17.6076392999025,0.688159443629378,13.66632725,1.52617525925946,7.43605470401585,2898.42683175,1575.42082925,166679630000,7.63696353333333,27.25927275,9.27676740357143,0.78531464516129,19.138657738385,0.854995234149403,2898.42683175,1575.42082925,150.539195015864,0.337078097891815
1974,71818536000,7.3691087875,23.3516000833333,0.75578033,8.29011692857143,0.650798064516129,17.4117172391915,0.672673169019545,13.967194,1.45619390021343,7.50243858903347,2906.4851065,1620.008389,166679630000,7.75166998333333,27.635381,8.29011692857143,0.650798064516129,18.897988407511,0.836791784142939,2906.4851065,1620.008389,145.831302505249,0.509799565762932
1975,71818536000,8.01814434666666,23.2116724166667,1.60077735,8.40565573571429,0.735635403225806,17.1883139048352,0.699012270803501,13.9153135,1.47089778642723,7.56237136634637,2833.12654475,1456.68323225,166679630000,8.12203848333333,27.5269979166667,8.40565573571429,0.735635403225806,18.8783091966134,0.867645440942663,2833.12654475,1456.68323225,160.202739513299,0.345008309998954
1976,71818536000,7.821649325,23.8026695,1.7295263,8.15482178571428,0.717455403225806,16.6975675259735,0.693798449571601,13.412791,1.33959466188156,7.80852018814302,2770.16999125,1660.25884125,166679630000,7.961553125,27.6480089166667,8.15482178571428,0.717455403225806,18.2896348276948,0.836927166525626,2770.16999125,1660.25884125,124.845242126447,0.492708917674204
1977,71818536000,8.82923841583333,21.7251256666667,0.321270285,7.95605991428572,0.712741016129032,16.8966872073316,0.633472575266683,15.05863875,0.975048759775242,8.16054939584822,2777.824726,1718.910006,166679630000,8.3241625,27.02217825,7.95605991428572,0.712741016129032,18.896335924761,0.856860355750185,2777.824726,1718.910006,113.74741474396,0.230358062143563
1978,71818536000,8.74604310833333,23.3667774166667,3.3087483,10.6984586892857,0.824770322580645,17.8960674034209,0.693393756424447,14.46789825,1.421375239115,7.47906030417269,2999.3240805,1625.7606555,166679630000,8.51139343333333,27.4859111666667,10.6984586892857,0.824770322580645,19.2638727683506,0.856799888064234,2999.3240805,1625.7606555,161.698629424622,0.343568978229528
1979,71818536000,8.63911846583333,23.0706680833333,1.07964683,8.77031037142857,0.714745951612903,17.5025732634838,0.656346920773217,15.24230125,1.18163039087416,7.80996277142447,2921.213573,1640.8559105,166679630000,8.30509934166667,27.39084125,8.77031037142857,0.714745951612903,19.1337773432383,0.849515790732594,2921.213573,1640.8559105,159.404894081487,0.280699998044126
1980,71818536000,8.43381277041667,22.507591,0.5349334725,8.99312944285714,0.701380870967742,17.6608624203978,0.651335976738064,14.4583925,1.02865639789299,8.00128271086819,2893.150765,1832.617905,166679630000,7.87341683333333,27.0377280833333,8.99312944285714,0.701380870967742,19.0854879189354,0.82644028222639,2893.150765,1832.617905,129.955495877635,0.190882160997341
1981,71818536000,7.39985927333333,23.4276928333333,1.730635,10.4952761821429,0.768451774193548,18.7965635994637,0.715181531957441,14.55732875,1.48316310775176,7.49222263877515,2942.86472225,1539.32183725,166679630000,7.51176979166667,27.3443826666667,10.4952761821429,0.768451774193548,20.0520475712182,0.862727845530692,2942.86472225,1539.32183725,161.56000229857,0.23587403652031
1982,71818502500,7.48379121416667,22.5453488333333,0.11818155,8.01599291785714,0.656124322580645,17.0525896164151,0.645185778902216,13.94834025,0.837081641984467,8.47140801146987,2622.29596775,1650.25399775,166679530000,7.278946355,27.2463295,8.01599291785714,0.656124322580645,18.9605212684979,0.855349744072549,2622.29596775,1650.25399775,93.6302274948506,0.0948575610055544
1983,71818496000,7.41852839166667,22.6220855,0.93887225,9.12485012857143,0.824614483870968,18.2090974645299,0.738430780721313,14.68500125,1.4762384064798,7.37483836302754,3035.14276225,1622.23109225,166679510000,7.54217403333333,27.0045675,9.12485012857143,0.824614483870968,19.624672245821,0.896273029893422,3035.14276225,1622.23109225,162.787706865526,0.30516028957431
