"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an"
1970,67486893000,9.17934230333333,18.4159205833333,0.41592962,4.96340426071429,0.456154338709677,18.7890011390314,0.688620724025276,16.30934075,2.991325405326,5.71366592300359,3714.447852,2017.495592,109403720000,8.76694693,20.66683675,4.96340426071429,0.456154338709677,19.6134258199396,0.859196825823848,3714.447852,2017.495592,244.960394581383,2.62822188490339
1971,67486893000,9.79541581666667,18.4292088333333,3.345631,2.88392108964286,0.427354943548387,18.2832865676892,0.749905390637816,16.46461125,3.20091711563395,5.49785536525308,3807.42218025,2051.33911775,109403720000,9.49949706666667,20.9471908333333,2.88392108964286,0.427354943548387,19.4213607128382,0.966170739940825,3807.42218025,2051.33911775,264.671529090902,3.27060909276556
1972,67486893000,10.6638240416667,18.6470735,2.5563004,3.85631069285714,0.619020919354839,18.3528734019809,0.767299107148116,18.15371175,2.85681350672066,5.55016166951432,3986.0002715,2105.316844,109403720000,9.7968556,21.2201085,3.85631069285714,0.619020919354839,19.7256857491071,0.995988716924309,3986.0002715,2105.316844,290.005763375968,2.78122256342531
1973,67486893000,10.015134975,18.70099,3.78410445,4.22659949642857,0.466708293548387,18.4683792167422,0.743572494223905,16.02023625,3.04243881678718,5.43133467385416,3921.56333325,1985.55664075,109403720000,9.56814046666667,20.6195750833333,4.22659949642857,0.466708293548387,19.3466513527584,0.899805699749597,3921.56333325,1985.55664075,274.786279328165,2.6290261036423
1974,67486893000,10.6327797083333,17.98016875,4.089156,6.05634363214286,0.623138725806452,18.7002084195226,0.725978928645714,16.8942575,2.84429926262804,5.69346155776321,3861.2406025,2030.59062,109403720000,9.8455631,20.5338218333333,6.05634363214286,0.623138725806452,19.6043781468902,0.909046542059528,3861.2406025,2030.59062,272.64133775027,2.82659480201102
1975,67486893000,9.73567734916667,18.20589875,0.752346645,5.165557625,0.596051290322581,18.2659730650622,0.706085884784768,17.02007825,2.38736321743649,6.10593075328981,3735.8640935,2144.203276,109403720000,9.13478017583333,20.770831,5.165557625,0.596051290322581,19.3969163390367,0.927894089484002,3735.8640935,2144.203276,245.91095926258,2.86790702129545
1976,67486893000,10.0983481333333,19.1372659166667,2.61167145,2.22905966428571,0.521638435483871,17.6533839216212,0.757010186890656,17.365736,2.93271633277621,5.72776662312869,3772.20415725,1889.95969475,109403720000,9.62404605,21.73426175,2.22905966428571,0.521638435483871,18.9885993453626,0.982677109028773,3772.20415725,1889.95969475,280.53367866749,2.53565409112373
1977,67486893000,9.67910746666667,18.0464840833333,2.144244,3.38143445535714,0.502754024193548,17.8431658231925,0.737929772782771,16.274438,2.95070888755641,5.72209976457077,3727.4403115,2067.1731365,109403720000,9.19828375,20.4090911666667,3.38143445535714,0.502754024193548,18.9065081893567,0.929996640400122,3727.4403115,2067.1731365,238.653746285839,2.85638375165237
1978,67486893000,10.2796094583333,18.6990406666667,1.8518203,2.82098463178571,0.509427612903226,18.2718841846386,0.77860548290365,16.853682,2.86515681214891,5.70139015275192,3806.30250375,1922.14510625,109403720000,9.77008259166667,21.3914739166667,2.82098463178571,0.509427612903226,19.5726097590596,1.02410182104497,3806.30250375,1922.14510625,270.8201035545,3.08072794236944
1979,67486893000,10.5547455,19.5579633333333,3.926265,5.48368766785714,0.779350725806452,18.9340472162742,0.814820426973702,17.01000375,3.06393258149799,5.48260038367058,3941.633286,1850.727551,109403720000,9.99088293333333,21.264505,5.48368766785714,0.779350725806452,19.8005230182456,0.956538858671552,3941.633286,1850.727551,302.299897876128,2.77377586397342
