"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an","AvOxy","Oxdebt","AnoxicArea","HypoxicArea","codRV"
1970,378660650000,10.3480377833333,7.62611793333333,2.4246467,3.17797225714286,0.395822274193548,18.2327061434742,0.42400534206851,17.37757075,0.846652814509937,7.47228376993467,3749.890495,3024.135115,1722883300000,7.72050365,8.74770755833333,3.17797225714286,0.395822274193548,19.1879730556081,0.700165511475133,3749.890495,3024.135115,146.098742838283,0.485992857523119,4.76215947222222,6.60312346666667,1053.22859342466,4052.25949890412,196.855461835616
1971,378660650000,9.50352060833333,7.80873821666667,3.13844415,3.28494787714286,0.356194209677419,18.4809892623476,0.419639061106979,16.31087425,0.890762596235525,7.48102912113131,3704.48002925,3021.11086175,1722883300000,7.04696705833333,9.01943469166667,3.28494787714286,0.356194209677419,19.4890034513741,0.713354433917726,3704.48002925,3021.11086175,129.811371078523,1.00451343706864,5.44093702972973,6.05810568648649,646.271260547945,2331.09878432876,221.390303742466
1972,378660650000,9.25118751666667,7.9739415,4.2244221,3.64522595321429,0.400136177419355,18.2322667116673,0.42223691786696,15.3871605,0.937440446615779,7.39528304918224,3735.674481,3022.3428735,1722883300000,6.90173818333333,8.91269939166667,3.64522595321429,0.400136177419355,19.4063327865676,0.69824072691373,3735.674481,3022.3428735,119.874615901181,1.06685028777023,3.90710235277778,7.603301825,1470.15281349727,4458.37282775956,186.859588387978
1973,378660650000,9.313638325,7.84693683333333,3.41271605,3.12440772321429,0.33308065483871,17.8562767117943,0.402352187626236,15.76944825,0.642525721739092,7.79134115766226,3674.151493,3044.180233,1722883300000,6.84648449166667,8.82943870833333,3.12440772321429,0.33308065483871,19.0788729102343,0.702861120043394,3674.151493,3044.180233,96.5998855785058,0.584100445503837,5.5233006972973,6.14726918108108,453.73688260274,2117.44061956165,210.809997328767
1974,378660650000,9.57074183333333,7.81350374166667,3.79276545,3.19010496535714,0.376975677419355,18.0319967781103,0.402570087146619,15.69764425,0.974935949797767,7.35416095112912,3735.24735575,3030.87875325,1722883300000,7.44440515833333,8.702731875,3.19010496535714,0.376975677419355,19.189272200791,0.699467966999783,3735.24735575,3030.87875325,125.549872131715,1.13426300586433,4.12190952222222,7.19195541111111,1533.7181270411,5446.5027238356,159.250006191781
1975,378660650000,9.91184405833333,7.85697708333333,3.1751869,4.12613505714286,0.318145325806452,18.2457089901315,0.371086989236942,17.3981995,0.491815679085467,8.00277801889919,3641.51662225,3037.80656225,1722883300000,7.202195975,9.10772155833333,4.12613505714286,0.318145325806452,19.3784916461353,0.64723618883983,3641.51662225,3037.80656225,100.907428174047,0.397154921037303,6.27890347027027,5.42573321891892,19.0145268493151,1070.18375654794,249.113414328767
1976,378660650000,10.3388903666667,7.87953793333333,4.35148305,3.58243767035714,0.359385419354839,17.9038804564592,0.392670928740981,17.338451,0.672277990792742,7.74581476094153,3681.036824,3039.6307265,1722883300000,7.87460489166667,8.69825683333333,3.58243767035714,0.359385419354839,19.123792437793,0.664316818890921,3681.036824,3039.6307265,118.206189015316,0.887505290997049,2.96042115,8.62516881944445,1441.94292661202,4959.23300655737,136.750362920765
1977,378660650000,9.84158053333333,7.73173010833333,3.6651748,3.31954174392857,0.316070829032258,18.2350770407337,0.389180437445047,16.3027655,0.749660831960408,7.59205865589273,3746.973884,3061.6451615,1722883300000,7.5158784,8.56111285833333,3.31954174392857,0.316070829032258,19.1524119028724,0.733247237458742,3746.973884,3061.6451615,127.261386081161,0.819796582620437,2.67100095540541,8.48826679189189,2669.64493369863,7225.12411232879,110.059097783562
1978,378660650000,10.4685510916667,7.58458679166667,4.13287995,3.63793778964286,0.3494279,18.2246350940868,0.403687643497149,17.763379,0.809427154119079,7.49736178907702,3790.75373475,3061.93152225,1722883300000,7.95424820833333,8.59253336666667,3.63793778964286,0.3494279,19.4729948683725,0.789402380362114,3790.75373475,3061.93152225,141.04754837302,1.11649977934915,3.54469366805556,7.47915879166666,1236.56261150685,4619.14034704109,156.907600441096
1979,378660650000,10.406244325,7.67991418333333,4.4939943,3.19324547571429,0.350129937096774,18.5948503950216,0.426637768263858,16.182483,1.07781591293171,7.10844800081631,3874.892283,3068.6385655,1722883300000,8.492515475,8.71623043333333,3.19324547571429,0.350129937096774,19.6130733990621,0.722488576262278,3874.892283,3068.6385655,164.26208597598,1.18990677243055,4.55480593243243,6.54306603243243,312.244231232876,2639.10341635617,202.035693726028
1980,378660650000,9.19917713333333,7.73479255,3.68760765,3.67325978,0.374247241935484,19.0206014571042,0.473088281655795,14.92887975,1.1588436921405,7.01826680652469,3918.513234,3059.883029,1722883300000,7.82440490833333,8.69846385833334,3.67325978,0.374247241935484,19.6933941982896,0.750656785073981,3918.513234,3059.883029,155.724428696766,1.42694425837691,3.09669361666667,7.68916446666667,1552.54502576503,5750.78257983606,158.348018174863
1981,378660650000,9.48829713333333,7.71549673333333,3.37128735,3.66896112142857,0.404226274193548,19.1843088006388,0.489600275923773,16.21109075,1.21362702968184,6.91738940468984,3960.2604385,3068.4775185,1722883300000,7.421927725,8.75376226666667,3.66896112142857,0.404226274193548,19.7979102209308,0.796550777501052,3960.2604385,3068.4775185,155.0356294972,0.918293100246115,3.57278280189189,7.22428157297297,1055.41707446575,3983.19270539727,174.758011709589
1982,378660650000,10.2313926083333,7.9986023,4.11807895,4.04951269285714,0.501548774193548,19.4361755339262,0.544996509713923,17.438981,1.35449467236666,6.78640261142557,3997.61365675,3038.35226425,1722883300000,7.776748475,8.98531079166667,4.04951269285714,0.501548774193548,20.3063804851362,0.802045942258122,3997.61365675,3038.35226425,184.758708257167,1.99466349532694,4.692291525,6.39859171388889,492.138487890411,2521.43078654795,204.551634410959
1983,378660650000,9.32524129166667,8.01623504166667,3.36630235,3.60155619607143,0.472807225806452,19.4777451911893,0.544351258216654,15.245983,1.45080913110624,6.5534162888573,4087.1360925,3045.6599975,1722883300000,7.47789461666667,9.063774675,3.60155619607143,0.472807225806452,20.426866171517,0.785465480009199,4087.1360925,3045.6599975,181.564415826465,1.97143907548794,6.14295862162162,5.28803154594595,0,50.4636858630137,240.571267780822
